experiment,channel,window_index,sampling_rate_hz,raw_bytes,compressed_bytes,reduction_percent,reconstruction_exact,rice_parameters,selected_mode
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),72,1000.0,3000,1236,58.8,True,"7,7,7,7,7,7,8,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),73,1000.0,3000,1238,58.73,True,"8,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,7,7,7,7,8,7,7,7,8,7,7,8,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),74,1000.0,3000,1241,58.63,True,"7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,8,8,7,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),75,1000.0,3000,1242,58.6,True,"7,8,7,7,7,8,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,8,8,7,7,7,8,7","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),76,1000.0,3000,1242,58.6,True,"7,7,8,8,7,7,8,7,7,8,7,7,7,7,8,7,7,7,7,7,8,7,8,7,7,7,8,7,7,7,7,7","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),77,1000.0,3000,1236,58.8,True,"7,8,7,7,7,8,7,7,7,7,7,8,7,7,7,7,8,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),78,1000.0,3000,1232,58.93,True,"7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,7,7,7,7,8","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),79,1000.0,3000,1237,58.77,True,"7,8,8,7,7,7,7,8,7,8,8,8,7,8,7,7,7,7,7,8,7,7,8,7,8,7,7,7,7,7,7,5","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),80,1000.0,3000,1239,58.7,True,"7,8,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,7,8,8,8,7,7","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
Experiment A (Native 1000Hz),Chest Lead (Vx-RL),81,1000.0,3000,1238,58.73,True,"8,7,8,7,7,7,7,7,8,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7","1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1"
